SEQ,INSCL,INSCL_NAME,INSCL_DATEEXP,MAININSCL,SOURCE,USED
44,"O3","สิทธิเบิกกรมบัญชีกลาง (ผู้รับเบี้ยหวัดบำนาญ)",,"OFC","2","Y"
45,"O4","สิทธิเบิกกรมบัญชีกลาง (บุคคลในครอบครัว)",,"OFC","2","Y"
46,"O5","สิทธิเบิกกรมบัญชีกลาง (บุคคลในครอบครัวผู้รับเบี้ยหวัดบำนาญ)",,"OFC","2","Y"
47,"97","บุคคลในครอบครัวทหารของกรมสวัสดิการสามเหล่าทัพ","Noexp","WEL","1","Y"
48,"98","บุคคลในครอบครัวทหารผ่านศึกนอกประจำการบัตรชั้นที่ 1","Noexp","WEL","1","Y"
57,"B1","สิทธิเบิกข้าราชการกรุงเทพมหานคร (ข้าราชการ)",,"OFC","5","Y"
58,"B2","สิทธิเบิกข้าราชการกรุงเทพมหานคร (ลูกจ้างประจำ)",,"OFC","5","Y"
59,"B3","สิทธิเบิกข้าราชการกรุงเทพมหานคร (ผู้รับเบี้ยหวัดบำนาญ)",,"OFC","5","Y"
60,"B4","สิทธิเบิกข้าราชการกรุงเทพมหานคร (บุคคลในครอบครัว)",,"OFC","5","Y"
61,"B5","สิทธิเบิกข้าราชการกรุงเทพมหานคร (บุคคลในครอบครัวผู้รับเบี้ยหวัดบำนาญ)",,"OFC","5","Y"
62,"C1","สิทธิเบิกหน่วยงานรัฐหรือรัฐวิสาหกิจ (เจ้าหน้าที่)",,"OFC","6","Y"
63,"C2","สิทธิเบิกหน่วยงานรัฐหรือรัฐวิสาหกิจ (ตนเอง)",,"OFC","6","Y"
64,"C3","สิทธิเบิกหน่วยงานรัฐหรือรัฐวิสาหกิจ (ผู้รับเบี้ยหวัดบำนาญ)",,"OFC","6","Y"
65,"C4","สิทธิเบิกหน่วยงานรัฐหรือรัฐวิสาหกิจ (บุคคลในครอบครัว)",,"OFC","6","Y"
66,"C5","สิทธิเบิกหน่วยงานรัฐหรือรัฐวิสาหกิจ (บุคคลในครอบครัวผู้รับเบี้ยหวัดบำนาญ)",,"OFC","6","Y"
67,"C6","สิทธิเบิกหน่วยงานรัฐหรือรัฐวิสาหกิจ (กรณีได้รับสิทธิเฉพาะหน่วยงาน)",,"OFC","6","Y"
68,"S1","สิทธิเบิกกองทุนประกันสังคม (ผู้ประกันตน)",,"SSS","3","Y"
69,"S2","สิทธิเบิกกองทุนประกันสังคม (เบิกส่วนต่างกรมบัญชีกลางได้เฉพาะกรณี)",,"SSS","3","Y"
70,"S3","สิทธิเบิกกองทุนประกันสังคม (เบิกส่วนต่างจากอปท. ได้เฉพาะกรณี)",,"SSS","3","Y"
71,"ST","กองทุนประกันสุขภาพบุคคลที่มีปัญหาสถานะและสิทธิ (ตรวจสอบสิทธิจาก https://state.moph.go.th)",,"STP","8","Y"
98,"O7","สิทธิเบิกกรมบัญชีกลาง(รอกรมบัญชีกลางยืนยันสิทธิ)",,"OFC","2","Y"
88,"P1","สิทธิครูเอกชน",,"PVT","5","Y"
89,"P2","สิทธิครูเอกชน (เบิกส่วนเกินหนึ่งแสนห้าหมื่นบาทจากกรมบัญชีกลาง)",,"PVT","5","Y"
90,"P3","สิทธิครูเอกชน (เบิกส่วนเกินหนึ่งแสนห้าหมื่นบาทจาก อปท.)",,"PVT","5","Y"
91,"N1","เด็ก อายุ 0-7 ปีบริบูรณ์","1 ปี","NRH","8","Y"
95,"N5","แรงงานต่างด้าวที่รอเข้าระบบประกันสังคม (ตรวจสุขภาพที่รพ.อื่น)","3 เดือน","NRH","8","Y"
94,"N4","แรงงานต่างด้าวทั่วไป อายุเกิน 7 ปี (ตรวจสุขภาพที่รพ.อื่น)","1 ปี","NRH","8","Y"
93,"N3","แรงงานต่างด้าวที่รอเข้าระบบประกันสังคม","3 เดือน","NRH","8","Y"
92,"N2","แรงงานต่างด้าวทั่วไป อายุเกิน 7 ปี","1 ปี","NRH","8","Y"
97,"S4","สิทธิเบิกกองทุนประกันสังคม (เบิกส่วนต่างกรมบัญชีกลางได้เฉพาะกรณี)",,"SSS","3","Y"
72,"75","ทหารผ่านศึกชั้น 1-3 ที่มีบัตรทหารผ่านศึก รวมถึงผู้ได้รับพระราชทานเหรียญชัยสมรภูมิ","Noexp","WEL","1","Y"
73,"76","พระภิกษุ สามเณร แม่ชี นักบวช และนักพรตในพระพุทธศาสนาซึ่งมีหนังสือสุทธิรับรอง","ตามสถานะภาพที่ปรากฎ","WEL","1","Y"
74,"82","อาสาสมัครสาธารณสุขประจำหมู่บ้าน (อสม.) อาสาสมัครสาธารณสุขกรุงเทพมหานคร","ตามวันหมดอายุของบัตรประจำตัว","WEL","1","Y"
